id,pr_number,pr_url,title_raw,size_label,summary_line_count,base_commit,head_commit,patch_sha256,changed_files,case_dir
fastgpt-pr-7140,7140,https://github.com/labring/FastGPT/pull/7140,feat: add agent dataset auth entry,size/L,4,62ed465571fec59b5ebdc7b852c91368efd7f442,3d02ffbcf0ab44232b9dffabeacae31cb50ff56b,6d5dbe15b98c191671a0bfd11795f04c955ac35d34821bccf58156f2e5f2b78b,17,cases/18cases/fastgpt-pr-7140
fastgpt-pr-7138,7138,https://github.com/labring/FastGPT/pull/7138,feat(app): filter unavailable tools in system tool selector,size/L,3,ffa1037a3443e08d5434c0a5b66a11d868186074,c2e6e9a358eeb11348e7db3ba85a2e55ba4ccde2,50cabc1e978d6a84b8c5c63e4ba3e7ec32cbb9f62ccfcd03eff9b21a39458de7,5,cases/18cases/fastgpt-pr-7138
fastgpt-pr-7137,7137,https://github.com/labring/FastGPT/pull/7137,feat: route helper bot generation through pro,size/XXL,3,9d5a8777da127283f9e2bfe1b16864b8c18c8e98,1567871d4a6b24f52dd16bdba9d889d7b5b2b227,0e3a506ebcd1ca239b9e969ec6d67314509ed59d36d8b8f25f2cc8c564a2d00f,19,cases/18cases/fastgpt-pr-7137
fastgpt-pr-7126,7126,https://github.com/labring/FastGPT/pull/7126,feat(openapi): refine API key auth proxy and app isolation,size/XXL,5,741ad4e2a35ec9edf6e640ac90505e929742533f,afe3b81c5312212a2db7dec6e12af748970efdb7,9dda32ba17223cdbfa79874402f24a3c83a701ede05e877ad7e57dcf46c25956,44,cases/18cases/fastgpt-pr-7126
fastgpt-pr-7072,7072,https://github.com/labring/FastGPT/pull/7072,feat: upload parsed docx images from read file worker,size/XXL,4,1d7b8768aecd53ae59372fd68b10af0e80722c79,bfaef5eb8b9ac0a585455db87eeb7c7baa1f6b2f,81f9c0b885c187c4cb6b31b3e13c96cd25c47b9c99b40db85648756aeda397e5,41,cases/18cases/fastgpt-pr-7072
fastgpt-pr-7066,7066,https://github.com/labring/FastGPT/pull/7066,feat: improve code block rendering,size/XL,3,445a5dc45465aea0e1c5693a479a09aea0182805,8dfcfd41a12f1e530aaaacbf155f9aab814f9a2e,60716a4d94cff949596a8bf352c90f196a393f9c334ee74700f03eafd1bff42a,14,cases/18cases/fastgpt-pr-7066
fastgpt-pr-7046,7046,https://github.com/labring/FastGPT/pull/7046,feat: upgrade MiniMax default model to M3,size/S,1,1759544e1e9028eebae0834ee9299929c88a0fe6,791f68dac07984f094d7719628ae37681f5530ba,bf08b905aec822c0159b348f44e7ea5280cb95fb25927d898c69507746cdf8b8,2,cases/18cases/fastgpt-pr-7046
fastgpt-pr-7017,7017,https://github.com/labring/FastGPT/pull/7017,feat: add browser sandbox image packaging,size/L,4,0415311979e729e25ff62c20ac2c6462e566d968,91d3c276216e5f80603e1caf8b9ef54961fdc88a,3dc4d50ced114b887a9381ef34e96b179fc39df7ebe2ec9138a7ec83e5bcf19b,4,cases/18cases/fastgpt-pr-7017
fastgpt-pr-7015,7015,https://github.com/labring/FastGPT/pull/7015,feat: add context compression benchmark adapter,size/S,5,805e32d7238da2bc2f904fabff1e9d0bc419bbcf,1de3555fccb3b6a1989341eaea427be6287de488,10a0f2420031f215d73837d1b37a2da0f213fb45481730f13bb32bdd6766388a,6,cases/18cases/fastgpt-pr-7015
fastgpt-pr-7008,7008,https://github.com/labring/FastGPT/pull/7008,feat(code-sandbox): add queueId concurrency limit,size/XL,5,4af1ef77674851e30478bef5a9e5cb6ded6db660,06a1fbaaf7b3337e6d9a3cf211d18a1e989509b8,520556b07b6798d3c708e428ed56599e7a8d4bb630fe6d62b06ce616f9fca4f9,15,cases/18cases/fastgpt-pr-7008
fastgpt-pr-6942,6942,https://github.com/labring/FastGPT/pull/6942,feat: support image dataset search,size/XXL,4,92e695887d9876b7707af9be9602a28d6304ac54,ea8fe4cfebe94c803e89971fec5081be169757c0,6de64ffa4ca0e84bdd007f1fb8e02d6c9e03003160bb33508c5891cde9583f43,74,cases/18cases/fastgpt-pr-6942
fastgpt-pr-6660,6660,https://github.com/labring/FastGPT/pull/6660,feat: add skill version update and switch,size/L,4,154107557f0002e6a7df94b6b04fd275d5fafb0d,55f0088c82f6ba4c2835500a460547642f85f650,90a1ad1aa3859dae596f63038c38593bc3365a41344e765c7852ec8bf3265296,4,cases/18cases/fastgpt-pr-6660
fastgpt-pr-6644,6644,https://github.com/labring/FastGPT/pull/6644,feat(agentSkills): add skill version list API and fix OpenAPI spec in…,size/L,5,6a183afac680117a638180abb35f683525a05ae8,7b82d83934063978333b833e109f2e5cf69dddd8,3f098c97d38ce0f4328099b388f075f890596666ffac19872c4b53fdebd9935a,10,cases/18cases/fastgpt-pr-6644
fastgpt-pr-6578,6578,https://github.com/labring/FastGPT/pull/6578,feat(agent): add skill reference logging and display,size/XXL,1,af6861df98324a6e0f6d66b1c1501fb0c9b235e2,daf5ba228434a76e8bd8d723802c97191db898cb,d4ccb181fe774e6935222892ff28b2bd88808ad8193d7dbfcc3cde25b605c9a4,49,cases/18cases/fastgpt-pr-6578
fastgpt-pr-6574,6574,https://github.com/labring/FastGPT/pull/6574,feat: add skill permission management,size/XXL,1,b431801b48d086e3aedc6a046fd00a81aa92339e,2f48223aa3f8f6f5404a576ef5b44d75fe42ea9a,f7eae514ba1a684b975aad5de53a95559553a09986e001f8d908bcb49527859a,47,cases/18cases/fastgpt-pr-6574
fastgpt-pr-6473,6473,https://github.com/labring/FastGPT/pull/6473,feat(docs): add analytics tracking script support,size/S,1,4b24472106cde7f2364bd0e6753ba0ec5918b89b,5a8d7e17df7770de0cef6475cf1b2bfda61452d7,07af0d46f37ab4aaa203586a113709be3977949fb93c52460ae81b8ffd33b522,3,cases/18cases/fastgpt-pr-6473
fastgpt-pr-6349,6349,https://github.com/labring/FastGPT/pull/6349,feat: add vector database migration solution between different vector DBs,size/XXL,20,6213f0001d66fabe45dddf18eb7f6fe58423425a,28625271623130ca715e8be683b83d19cd1d69f9,0174909b61f52ad183528d6d176a5487ea658bb810be1907869c42d23dea203e,8,cases/18cases/fastgpt-pr-6349
fastgpt-pr-5776,5776,https://github.com/labring/FastGPT/pull/5776,feat: add health check to MongoDB service in Docker Compose templates,size/L,4,19846905ff007bcd0060299e1ca4fefaf59a23c2,edf5b0964f3d356d12e3f901c2ac9933578b60cc,382babaa64118f270709150cbcd2d0ed53750d23ef5cca6e55126bcdc9a3528e,20,cases/18cases/fastgpt-pr-5776
